epoch,loss,val_loss
0,4.276355743408203,3.1334586143493652
1,0.8905916810035706,3.468254327774048
2,0.5964083075523376,3.101283550262451
3,0.5003315806388855,3.8261570930480957
4,0.4279493987560272,3.1507318019866943
5,0.38461700081825256,3.6688785552978516
6,0.3629286587238312,3.150622844696045
7,0.3273108899593353,3.323052167892456
8,0.33025631308555603,3.246586799621582
9,0.3100470006465912,3.9316422939300537
10,0.28184112906455994,3.8589894771575928
11,0.2707982361316681,3.576458215713501
12,0.25957444310188293,3.341639280319214
